date,Team_1,Team_2,Winner,Margin,Ground
09-Jul-71,New Zealand,Sri Lanka,New Zealand,65 runs,Dunedin
10-Jul-71,West Indies,India,West Indies,52 runs,Port of Spain
11-Jul-71,Australia,New Zealand,New Zealand,14 runs,Sydney
12-Jul-71,New Zealand,Sri Lanka,New Zealand,7 wickets,Napier
13-Jul-71,New Zealand,Sri Lanka,New Zealand,116 runs,Auckland
14-Jul-71,West Indies,India,India,27 runs,Albion
15-Jul-71,West Indies,India,West Indies,7 wickets,St George's
16-Jul-71,Sri Lanka,Australia,Sri Lanka,2 wickets,Colombo (PSS)
17-Jul-71,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (PSS)
18-Jul-71,Sri Lanka,Australia,no result,,Colombo (SSC)
19-Jul-71,Sri Lanka,Australia,no result,,Colombo (SSC)
20-Jul-71,England,New Zealand,England,106 runs,The Oval
21-Jul-71,Pakistan,Sri Lanka,Pakistan,50 runs,Swansea
22-Jul-71,Australia,Zimbabwe,Zimbabwe,13 runs,Nottingham
23-Jul-71,India,West Indies,India,34 runs,Manchester
24-Jul-71,England,Sri Lanka,England,47 runs,Taunton
25-Jul-71,New Zealand,Pakistan,New Zealand,52 runs,Birmingham
26-Jul-71,Australia,West Indies,West Indies,101 runs,Leeds
27-Jul-71,India,Zimbabwe,India,5 wickets,Leicester
28-Jul-71,England,Pakistan,England,8 wickets,Lord's
29-Jul-71,New Zealand,Sri Lanka,New Zealand,5 wickets,Bristol
30-Jul-71,Australia,India,Australia,162 runs,Nottingham
31-Jul-71,West Indies,Zimbabwe,West Indies,8 wickets,Worcester
01-Aug-71,England,New Zealand,New Zealand,2 wickets,Birmingham
02-Aug-71,India,West Indies,West Indies,66 runs,The Oval
03-Aug-71,Pakistan,Sri Lanka,Pakistan,11 runs,Leeds
04-Aug-71,Australia,Zimbabwe,Australia,32 runs,Southampton
05-Aug-71,England,Pakistan,England,7 wickets,Manchester
06-Aug-71,New Zealand,Sri Lanka,Sri Lanka,3 wickets,Derby
07-Aug-71,Australia,West Indies,West Indies,7 wickets,Lord's
08-Aug-71,India,Zimbabwe,India,31 runs,Tunbridge Wells
09-Aug-71,England,Sri Lanka,England,9 wickets,Leeds
10-Aug-71,New Zealand,Pakistan,Pakistan,11 runs,Nottingham
11-Aug-71,Australia,India,India,118 runs,Chelmsford
12-Aug-71,West Indies,Zimbabwe,West Indies,10 wickets,Birmingham
13-Aug-71,England,India,India,6 wickets,Manchester
14-Aug-71,Pakistan,West Indies,West Indies,8 wickets,The Oval
15-Aug-71,India,West Indies,India,43 runs,Lord's
16-Aug-71,India,Pakistan,India,4 wickets,Hyderabad
17-Aug-71,India,Pakistan,India,4 wickets,Jaipur
18-Aug-71,India,West Indies,West Indies,28 runs,Srinagar
19-Aug-71,India,West Indies,West Indies,4 wickets,Vadodara
20-Aug-71,India,West Indies,West Indies,8 wickets,Indore
21-Aug-71,India,West Indies,West Indies,104 runs,Jamshedpur
22-Aug-71,India,West Indies,West Indies,6 wickets,Guwahati
23-Aug-71,Australia,West Indies,West Indies,27 runs,Melbourne
24-Aug-71,Australia,Pakistan,Australia,34 runs,Sydney
25-Aug-71,Pakistan,West Indies,Pakistan,97 runs,Melbourne
26-Aug-71,Pakistan,West Indies,West Indies,5 wickets,Brisbane
27-Aug-71,Australia,Pakistan,no result,,Brisbane
28-Aug-71,Australia,West Indies,West Indies,28 runs,Sydney
29-Aug-71,Pakistan,West Indies,West Indies,5 wickets,Sydney
30-Aug-71,Australia,Pakistan,Australia,43 runs,Melbourne
31-Aug-71,Australia,West Indies,West Indies,26 runs,Melbourne
01-Sep-71,Australia,Pakistan,Australia,87 runs,Sydney
02-Sep-71,Pakistan,West Indies,West Indies,1 wicket,Adelaide
03-Sep-71,Australia,West Indies,West Indies,6 wickets,Adelaide
04-Sep-71,Australia,Pakistan,Australia,70 runs,Adelaide
05-Sep-71,Pakistan,West Indies,West Indies,7 wickets,Perth
06-Sep-71,Australia,West Indies,Australia,14 runs,Perth
07-Sep-71,Australia,West Indies,West Indies,9 wickets,Sydney
08-Sep-71,Australia,West Indies,tied,,Melbourne
09-Sep-71,Australia,West Indies,West Indies,6 wickets,Melbourne
10-Sep-71,New Zealand,England,England,54 runs,Christchurch
11-Sep-71,New Zealand,England,England,6 wickets,Wellington
12-Sep-71,New Zealand,England,New Zealand,7 wickets,Auckland
13-Sep-71,West Indies,Australia,West Indies,8 wickets,Albion
14-Sep-71,Sri Lanka,New Zealand,New Zealand,104 runs,Colombo (SSC)
15-Sep-71,Pakistan,England,Pakistan,6 wickets,Lahore
16-Sep-71,West Indies,Australia,Australia,4 wickets,Port of Spain
17-Sep-71,Pakistan,England,England,6 wickets,Karachi
18-Sep-71,Sri Lanka,New Zealand,Sri Lanka,41 runs,Moratuwa
19-Sep-71,Sri Lanka,New Zealand,New Zealand,86 runs,Colombo (PSS)
20-Sep-71,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Sharjah
21-Sep-71,India,Sri Lanka,India,10 wickets,Sharjah
22-Sep-71,India,Pakistan,India,54 runs,Sharjah
23-Sep-71,West Indies,Australia,West Indies,7 wickets,Castries
24-Sep-71,West Indies,Australia,West Indies,9 wickets,Kingston
25-Sep-71,England,West Indies,West Indies,104 runs,Manchester
26-Sep-71,England,West Indies,England,3 wickets,Nottingham
27-Sep-71,England,West Indies,West Indies,8 wickets,Lord's
28-Sep-71,India,Australia,Australia,48 runs,New Delhi
29-Sep-71,India,Australia,no result,,Thiruvananthapuram
30-Sep-71,India,Australia,no result,,Jamshedpur
01-Oct-71,India,Australia,Australia,7 wickets,Ahmedabad
02-Oct-71,India,Australia,Australia,6 wickets,Indore
03-Oct-71,Pakistan,India,Pakistan,46 runs,Quetta
04-Oct-71,Pakistan,India,no result,,Sialkot
05-Oct-71,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Colombo (PSS)
06-Oct-71,Sri Lanka,New Zealand,New Zealand,7 wickets,Moratuwa
07-Oct-71,Pakistan,New Zealand,Pakistan,46 runs,Peshawar
08-Oct-71,Pakistan,New Zealand,Pakistan,5 runs,Faisalabad
09-Oct-71,Pakistan,New Zealand,New Zealand,34 runs,Sialkot
10-Oct-71,India,England,England,4 wickets,Pune
11-Oct-71,Pakistan,New Zealand,Pakistan,1 wicket,Multan
12-Oct-71,India,England,England,1 run,Cuttack
13-Oct-71,Australia,West Indies,West Indies,7 wickets,Melbourne
14-Oct-71,Australia,Sri Lanka,Australia,6 wickets,Sydney
15-Oct-71,Sri Lanka,West Indies,West Indies,8 wickets,Hobart
16-Oct-71,New Zealand,Pakistan,New Zealand,110 runs,Napier
17-Oct-71,Sri Lanka,West Indies,West Indies,90 runs,Brisbane
18-Oct-71,Australia,West Indies,West Indies,5 wickets,Brisbane
19-Oct-71,New Zealand,Pakistan,New Zealand,4 wickets,Hamilton
20-Oct-71,Australia,West Indies,West Indies,5 wickets,Sydney
21-Oct-71,Sri Lanka,West Indies,West Indies,65 runs,Sydney
22-Oct-71,Australia,Sri Lanka,Sri Lanka,4 wickets,Melbourne
23-Oct-71,Australia,West Indies,West Indies,65 runs,Melbourne
24-Oct-71,India,England,England,3 wickets,Bengaluru
25-Oct-71,Australia,Sri Lanka,Australia,3 wickets,Sydney
26-Oct-71,India,England,India,3 wickets,Nagpur
27-Oct-71,Sri Lanka,West Indies,West Indies,8 wickets,Adelaide
28-Oct-71,Australia,West Indies,West Indies,6 wickets,Adelaide
29-Oct-71,India,England,England,7 runs,Chandigarh
30-Oct-71,Australia,Sri Lanka,Australia,232 runs,Adelaide
31-Oct-71,Sri Lanka,West Indies,West Indies,82 runs,Perth
01-Nov-71,Australia,Sri Lanka,Australia,9 wickets,Perth
02-Nov-71,New Zealand,Pakistan,New Zealand,13 runs,Christchurch
03-Nov-71,Australia,West Indies,Australia,26 runs,Sydney
04-Nov-71,Australia,West Indies,West Indies,4 wickets,Melbourne
05-Nov-71,Australia,West Indies,West Indies,7 wickets,Sydney
06-Nov-71,New Zealand,Pakistan,no result,,Auckland
07-Nov-71,Australia,England,Australia,7 wickets,Melbourne
08-Nov-71,New Zealand,West Indies,no result,,Sydney
09-Nov-71,India,Pakistan,India,6 wickets,Melbourne
10-Nov-71,New Zealand,Sri Lanka,New Zealand,51 runs,Melbourne
11-Nov-71,Australia,Pakistan,Pakistan,62 runs,Melbourne
12-Nov-71,England,India,India,86 runs,Sydney
13-Nov-71,Sri Lanka,West Indies,West Indies,8 wickets,Melbourne
14-Nov-71,England,Pakistan,Pakistan,67 runs,Melbourne
15-Nov-71,Australia,India,India,8 wickets,Melbourne
16-Nov-71,India,New Zealand,India,7 wickets,Sydney
17-Nov-71,Pakistan,West Indies,Pakistan,7 wickets,Melbourne
18-Nov-71,New Zealand,West Indies,West Indies,6 wickets,Sydney
19-Nov-71,India,Pakistan,India,8 wickets,Melbourne
20-Nov-71,West Indies,New Zealand,West Indies,23 runs,St John's
21-Nov-71,India,Pakistan,India,38 runs,Sharjah
22-Nov-71,Australia,England,Australia,2 wickets,Sharjah
23-Nov-71,England,Pakistan,Pakistan,43 runs,Sharjah
24-Nov-71,West Indies,New Zealand,West Indies,6 wickets,Port of Spain
25-Nov-71,Australia,India,India,3 wickets,Sharjah
26-Nov-71,West Indies,New Zealand,West Indies,130 runs,Albion
27-Nov-71,West Indies,New Zealand,West Indies,10 wickets,Port of Spain
28-Nov-71,West Indies,New Zealand,West Indies,112 runs,Bridgetown
29-Nov-71,England,Australia,Australia,3 wickets,Manchester
30-Nov-71,England,Australia,Australia,4 wickets,Birmingham
01-Dec-71,England,Australia,England,8 wickets,Lord's
02-Dec-71,Sri Lanka,India,India,2 wickets,Colombo (SSC)
03-Dec-71,Sri Lanka,India,Sri Lanka,14 runs,Colombo (PSS)
04-Dec-71,Sri Lanka,India,no result,,Colombo (PSS)
05-Dec-71,Pakistan,Sri Lanka,Pakistan,8 wickets,Peshawar
06-Dec-71,Pakistan,Sri Lanka,Pakistan,15 runs,Gujranwala
